modeltype;modelname;positionX;positionY;positionZ;rotationX;rotationY;rotationZ;location;texturename;iscollider;meshname
static;tree;10;0;0;0;0;0;../Resources/OtherTree/pine1.gem;pine;1;pine
static;tree;25;0;25;0;0;0;../Resources/OtherTree/pine1.gem;pine;1;pine
static;tree;20;0;10;0;0;0;../Resources/OtherTree/pine1.gem;pine;1;pine
static;bamboo;25;0;15;0;0;0;../Resources/OtherTree/bamboo.gem;bamboo;0;bamboo
static;bamboo;30;0;20;0;0;0;../Resources/OtherTree/bamboo.gem;bamboo;0;bamboo
anim;trex;20;0;20;0;0;0;../Resources/Trex/TRex.gem;enemy;1;enemy
static;grass;32;0;32;0;0;0;../Resources/OtherTree/flower1.gem;grass;0;flover
static;tree;10;0;0;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;10;0;10;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;14;0;14;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;18;0;18;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;22;0;22;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;26;0;26;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;30;0;30;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;34;0;34;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;38;0;38;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;42;0;42;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;46;0;46;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;50;0;50;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;54;0;54;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;58;0;58;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;62;0;62;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;66;0;66;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;70;0;70;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;74;0;74;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;78;0;78;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;82;0;82;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;86;0;86;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;90;0;90;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;94;0;94;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;98;0;98;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;102;0;102;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;106;0;106;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;110;0;110;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;114;0;114;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;118;0;118;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;122;0;122;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;126;0;126;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;130;0;130;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;134;0;134;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;138;0;138;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;142;0;142;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;146;0;146;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
static;tree;150;0;150;0;0;0;../Resources/OtherTree/pine1.gem;pine;0;pine
anim;trex;20;0;20;0;0;0;../Resources/Trex/TRex.gem;enemy;1;enemy
